This Year,Name,Image,Type,Edible,Description,Location,Sowing month,Indoor seed,Date sown,Outdoor seed,Planting out month,Planting out instruction,Sowing Instructions,Pruning month,Pruning Instructions,Harvest month,Flowering,Preferences,Soil Preference,Care Instructions,Common problems,Good for pollinators,Link to Useful Website,Archived
Yes,Chives Garlic,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7317.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7318.jpg",Herb,Yes,"Excellent in salads, stews, fish, egg or meat dishes
Easy for all to grow
A must have for the herb garden. 
Garlic chives differ from ordinary chives in having flat leaves and have a delicate mild garlic flavour. They can be used in the same way as chives and are excellent in salads, stews, fish, egg or meat dishes.",Seed pack,"April, June, March, May",Yes,,No,,"GROWING: Transplant seedlings into 7.5cm pots. Grow on in cooler conditions for a few days before planting out after all risk of frost has passed, 30cm apart.","WHERE TO SOW: Start off in a seed tray or pots indoors or direct outdoors once soil has
warmed.
PREPARATION: Indoors - fill a seed tray or pots with good, free-draining, seed compost.
SOWING: Sow seed on the surface of the compost and cover with a sprinkling of compost
or vermiculite. Place in a propagator or seal container inside a polythene bag and keep
at 20-25C until after germination which takes up to 21 days. Do not exclude light, as this helps germination. Can also be sown outdoors once the ground has warmed, 13mm deep, in rows 20cm (8in) apart",,,"August, September",,Full sun,,,,No,,No
Yes,Courgette Blanco de virginia 3,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7311.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7312.jpg","Annual, Vegetable",Yes,Early bush-type variety with erect and compact habit. Elongated fruits up to 35 cm long in light green color. Very productive. Pale flesh has excellent flavor.,Seed pack,"April, February, June, March, May",Yes,,No,"April, June, March, May",Plant out from March - June at a distance of 40-50 cm,Sow indoors Feb- Mar and directly outdoors May -june. Keep a temperature of 12-14C,,,"August, July, June, September",,,,,,No,,No
Yes,Courgette defender hybrid,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9337.jpg,Vegetable,Yes,"Twice the cropping power of other courgettes! The open habit of the plants also makes it easier to see the many solid, mid-green, heavy fruits. Crops well through the season without trouble, thanks to Cucumber Mosaic Virus resistance.
SERVING SUGGESTION: Use fresh courgette flowers stuffed with ricotta cheese or
rice and vegetables.",Seed pack,"April, May",Yes,,No,"June, May","GROWING INSTRUCTIONS: Gradually acclimatise to outdoor conditions for 10-15 days before planting out after all risk of frost, 60cm (24in) apart. Can also be sown direct outdoors once the soil has warmed. Sow 2 seeds every 60cm (24in) and thin out to the best seedling.","SOWING INSTRUCTIONS: Sow seed, 1cm (1/2in) deep in 7.5cm (3in) pots of free draining compost. Place in a propagator or seal container inside a polythene bag and place at 20-25°C (68-77°F) until after germination which takes 7-10 days. Do not exclude light, as this helps germination.",,,"August, July, June",,Full sun,,,,No,,No
No,Courgettes Cerna (romania),Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9327.jpg,Vegetable,Yes,"Fast-growing, the fruits are cylindrical, finely ribbed, weigh 2-4 kg, the skin is light yellow. The plant is thermophilic and sensitive to low temperatures. Successful cultivation requires regular irrigation and nutrient supply.",Seed pack,"August, February, July, March",No,,No,,After 45 days plant out 50cm apart,"Indoor sowing: Feb- March or Jul- Aug
Outdoor sowing Apr-May",,,"August, July, October, September",,Full sun,Wet,,,No,,No
No,Courgettes Goldena,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9291.jpg,Vegetable,Yes,Cucurbita pepo cylindrica,Seed pack,"April, March, May",Yes,,No,"June, May","Gradually accustom plants to outside conditions (avoid
frosts), before planting out 60 cm apart, into fertile,
well-drained soil, growing bags or 40 cm diameter
pots, during May-June when frosts are over.","Sow indoors 1.5 cm deep, on edge, in 7.5 cm pots of seed compost. Water well and place in a warm position. A temperature of 15-20°C Seedling - Courgette is ideal.
Seedlings will usually appear after 7-14 days
",,,"August, July, September",,"Full sun, Wet",,"Keep the soil constantly moist by watering around the plants, not over them. Top Tip! Plant a small, empty growing pot alongside the plants. Water into the pot and it will help ensure that water goes right down to the roots and doesn't sit around the neck of the plant which could lead to rotting.",,No,,No
No,Cucumber Cornichon de Paris,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7349.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7350.jpg","Annual, Vegetable",Yes,"Vegetation period: 65 days. Small fruits of
dimensions 9/2 cm. Green fruits, with grooves and thorns
blacks. flowering is mixed. Good productivity.",Seed pack,"June, May",No,,Yes,,,,,,"August, July, June",,,,,,No,,No
No,Cucumber Crisan (for pickles),Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9356.jpg,Vegetable,Yes,"Early, thick-boosted American-type loader, with mixed flowers.
The fruits are short, dark green, granular with an average weight of 70-90g. After processing
it remains harder, crisper than smooth varieties.Pickled cucumber
Early type, mixed flower, high yield variety. The fruits are short,
they are ribbed, their weight is 70-90 g, their color is dark green with black spines.",Seed pack,"June, May",No,,No,,,,,,"August, July",,,,,,No,,No
Yes,Cucumber Goblin (gerkin),Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9383.jpg,Vegetable,Yes,"Early to flower and set fruit. High powdery mildew tolerance
Up to 50 crunchy and juicy fruits per plant Semi-trailing plants (spread 40cm) ideal for patio containers
Plants are bred to be semi-trailing and are ideal for larger patio containers. Fruits can be harvested in about 8 weeks from transplanting. Pick regularly when fruits are 5cm 'cornichons' or when they are 10cm long for pickling or salad use.",Seed pack,"April, May",Yes,,No,"June, May","GROWING ON: Gradually acclimatise plants to outdoor conditions before
planting out after last frosts. Leave 75cm (2.5ft) between plants in each direction. Do not remove the male flowers. Best grown outdoors, allow to trail on the ground or plant in larger patio containers. ","SOWING INSTRUCTIONS: Sow seed 13mm (1/2in) deep in 7.5cm (3in) pots of good seed compost. Place pots in a propagator or seal in a polythene bag and keep at 21-25°C (70-77°F) until after germination which usually takes 5-7 days. Alternatively, sow seed directly into the soil outside once it has warmed and there is no further risk of frost. Sow at a depth of 2cm (3/4in) 75cm (2.5ft) apart and in rows 75cm (2.5ft) apart.",,,"August, July, June, October, September",,Full sun,"Well drained, Wet",Ensure no 'all female' varieties are also being grown so as to avoid cross pollination. Feed with potash fertiliser once fruiting commences.,,No,,No
No,Cucumber Marketer,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9359.jpg,,,"Cucumis sativus
A popular variety producing heavy yields of smooth, dark green fruits. Perfect for salads.",Seed pack,"April, May",No,,No,,lant out in desired location when all chance of frost has passed. Harden off first.,"Indoor Planting:
Sow seeds 0.5cm deep in pots of moist compost, be careful not to over-water. Store in a warm location at an approx. temperature of 20°c (68°f). P",,,"August, October, September",,Full sun,Wet,"Pick fruit regularly and feed well. Keep well watered in dry conditions.
Keep free from weeds.",,No,,No
Yes,Cucumber Marketmore 76,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7397.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7398.jpg","Annual, Vegetable",Yes,"For the garden an growing bags outside
• Shows good resistance to mildew
• Source of vitamin C and vitamin A",Seed pack,"April, February, June, March, May",Yes,,Yes,"June, May","Gradually accustom young plants to outside
conditions (avoid frosts), before planting out 60cm (2')
apart. Pinch out the growing tip when six leaves have
formed to encourage side shoots to form.","Sow indoors for surest results, 0.5cm (1/4"") deep, on
edge, in small pots of compost. Water well and place in
a warm position. A temperature of 21-24C (70-750F) is
ideal. Keep moist. Seedlings usually appear in 7-14 days.
When plants have developed 3 or 4 leaves, transplant to
12cm (5"") pots and grow on in cooler, but not cold
conditions. 
Or sow outdoors for ease, where they are to crop, sow
two seeds per position 0.5cm (1/4"") deep, directly into
finely prepared soil which has already been watered.
Allow 60cm (2') between rows. When large enough, thin
to leave the stronger plant.",,,"August, July, October, September",,Full sun,"Well drained, Wet","This outdoor cucumber will also crop well
in growing bags and large pots, but it needs plenty of
waterinq and occasional feeding.",,No,,No
Yes,Daffodil lesser,Our%20garden%2093e00b18daa6406bb774d7fac429385d/597474D9-9A35-49B2-BB72-00710FF8B9C6.jpeg,"Flowers, Perennial",No,"Narcissus minorN. minor is a vigorous, dwarf trumpet daffodil forming a clump of grey-green foliage to 15cm in height, with bright yellow flowers 3cm in width in early spring",Front - raised bed,"November, October, September",No,,No,,,"Plant at one and a half to two times its own depth in autumn. Will tolerate most soils but prefers moderately fertile, well-drained soil that is constantly moist during the growing season.",,"https://www.rhs.org.uk/garden-jobs/deadheading-plants
 as flowers fade and allow the leaves to die down naturally",,"April, February, March",Ground,"Acidic, Alkaline, Neutral, Well drained",,,No,,No
No,Dahlia crazy love,Our%20garden%2093e00b18daa6406bb774d7fac429385d/21D72213-3251-4F85-B33C-51C914D878EE.jpeg,"Flowers, Perennial",No,,,,No,,No,,,,,,,,,,,,No,,No
Yes,Dill,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9316.jpg,Herb,Yes,"Anethum graveolens
Use the leaves to flavour fish, potatoes, sauces and mustards, also great as a decorative garnish. The seeds can be used for pickling and in stews.",Seed pack,"April, August, December, February, January, July, June, March, May, November, October, September",No,,No,,,All year round for pots indoors,,,,,,,"Pick leaves as required from June to November. Pick seed heads when light brown (outdoor crops only). After drying shake out the seeds and store in an
airtight container
Add leaves just before cooking is complete for maximum flavour
Tip
Performance subject to growing conditions. Packed in UK",,No,,No
Yes,Dwarf french bean mix,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7359.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7360.jpg","Annual, Vegetable",Yes,"Unusual coloured beans, delicious whether eaten hot or cold in salad dishes. Their attractive pods can be eaten as fresh French style beans or dried and shelled for haricot beans.
- Borlotto di Vigevano nano ,large crops of pods heavily flecked With red. Eat young as fresh green pods or dry the attractive seeds inside.
- Rocquencourt, long deep yellow, rounded pods make an unusual and attractive alternative, while the black tasty seeds add something a little different.
- Contender, round podded green beans occasionally flecked with purple. The dark seeds can also be dried and used as haricot beans.",Seed pack,"April, July, June, May",No,,Yes,"June, May"," For early crops plant out and protect with cloches. Stand outside late May (avoid frosts). Transplant 25cm apart in rows 45cm apart. Harvest from June to October. Pick regularly to encourage further cropping."," Sow outdoors in position May to July, sow two seeds together with 25cm between positions, in rows 45cm apart. Cover with 5cm of fine soil. Firm gently and keep moist. When large enough thin to strongest seedling.
Support in windy sites. Harvest from July to October. Pick regularly to
encourage further cropping. Or, sow April to May, 2.5cm deep into pots of compost. Cover with glass or polythene and keep at 15C. Keep moist. Remove cover when seedlings appear.","June, May",,"August, July, June, October, September",,,,,,No,,No
No,,,,,,,,No,,No,,,,,,,,,,,,No,,No
Yes,Dwarf tulip,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9512_(1).jpg,"Flowers, Perennial",No,Eye catching clusters of star shaped flowers with strap shaped glossy green leaves.,"Front - raised bed, Rear - raised bed",,No,,No,,,Plant 15 cm apart. Either plant immediately in a hole twice the pots diameter or in a larger patio pot to flower. Allow fading flowers to die back naturally.,,,,"April, March, May",Full sun,Well drained,,,No,,No
Yes,Echinacea Pink Parasol,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7319.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7320.jpg","Flowers, Perennial",Yes,"Deep purple-pink blooms with contrasting orange cones
Excellent for borders; makes a high quality cut flower
Grows well in any ordinary soil in full sun
Stunning, large, deep purple-pink blooms with contrasting orange cones stand proudly above strong stems attracting butterflies to your garden. These bushy plants will add height to your borders and make attractive, long-lasting cut flowers.","Seed pack, Seed tray - indoors","April, February, June, March, May",Yes,"February 24, 2024",No,,"GROWING ON: Transplant seedlings when large enough to handle, into 7.5cm (3in) pots. Gradually acclimatise plants to cooler conditions for a few weeks before planting out after all risk of frost has passed, 45cm apart.","SOWING INSTRUCTIONS: Sow seeds onto the surface of a good, free-draining, damp seed compost. Cover with a very fine sprinkling of compost or vermiculite. Place in a propagator or seal container inside a polythene bag at a temperature of 15-20C until after germination which usually takes 10-21 days.",,,,"August, July, November, October, September",Full sun,,,,Yes,,No
Yes,Forget Me Not Mix,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9347.jpg,Flowers,No,"Myosotis sylvatica
Pure clear colours to complement spring daffodils and tulips or to brighten beds, borders and rock gardens with traditional cottage garden charm.",Seed pack,"July, June, May",No,,No,,,"Sow thinly in rows 15cm apar
Cover with 0.5cm of fine soil Firm gently and keep moist. Seedlings appear. 14-28 days. Sow some in pots with spring bulbs for great looking containers",,,,"April, June, May","Full sun, Part shade",Well drained,"When large enough thin to 5cm apart Transplant 15cm apart in flowering position from September to October Keep moist and weed free. ",,No,,No
Yes,French bean carminat,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7399.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7400.jpg","Annual, Vegetable",Yes,"Attractive, slender beans retaining their colour when steamed",Seed pack,"June, May",No,,Yes,,"15-2 cm apart in full sun, in soil with added
organic matter. Climbing beans require
support with a double row of canes, 1.8m
tall with 45cm between rows. Keep soil
moist at all times.","Sow direct into the required harvest
location, 5cm deep, 15-20cm apart.
Support with canes, as with planting
out indoor-sown beans. If planting in
containers, choose one at least 75cm in
diameter, such as a half-barrel.",,,"August, July, September",,Full sun,"Well drained, Wet","Advice
Put supporting canes in place before
planting out or direct sowing. Pick
regularly once the beans are about
10cm long and snap easily. Climbing
beans harvest over a longer period than
dwarf beans.",,No,,No
Yes,French Bean Climbing Blauhilde,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9283.jpg,Vegetable,Yes,Phaseolus vulgaris,Seed pack,"April, June, May",No,,No,"June, May","Gradually accustom plants to outside conditions (avoid frosts), before planting out 20 cm apart. Before planting, construct a support system for your beans, as they are strong climbers.","Sow indoors in pots or trays, 4 cm deep, on a windowsill or in a greenhouse using seed compost.
Seedlings will usually appear after 7-14 days.",,,"August, July, October, September",,,Wet,Keep the soil moist and weed free. Feed with a general purpose liquid feed every two weeks.,,No,,No
Yes,French Bean Climbing Isabel,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9312.jpg,Vegetable,Yes,"Phaseolus vulgaris
Succulent, well flavoured, rounded pods held in clusters that are easy to pick. A vigorous white seeded, stringless variety capable of cropping over a long period, with good disease tolerance for naturally healthy plants and reliable crops.",Seed pack,"April, May",No,,No,June,,"Indoor sowing
In pots of moist compost
Sow one or two seeds per pot
Firm gently and keep moist Keep at approx. 15-20°C
Cover with 2.5cm of fine compost Cover pots with glass or polythene Seedlings appear 7-14 days
Remove cover when seedlings appear. Stand outside for a few days in May",,,"August, July, September",,,,"Pick regularly to encourage further cropping
Make an early and late sowing for the longest harvest. In hot weather mist with tepid water in the
evening to help the pods set",,No,,No
Yes,French Bean Climbing Speckled cranberry,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7309.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7310.jpg","Annual, Vegetable",Yes,"A great looking and really useful variety. The young pods can be eaten whole from around 8 weeks, or left to mature and the succulent shelled beans used fresh at around 1 1 weeks. Alternatively they can be left to mature and dry out for long term storage.",Seed pack,"June, May",No,,Yes,,,"In a prepared seed bed, delay sowing if soil is cold or waterlogged. Sow two seeds together 25cm apart,
in rows 45cm apart. Cover with 5cm of fine soil
Firm gently and keep moist. When large enough thin to strongest seedling. Train up poles or netting",,,"August, July, October, September",,Full sun,"Well drained, Wet",Keep moist and weed free. Pick regularly to encourage further cropping. Make an early and late sowing for the longest harvest. In hot weather mist with tepid water in the evening to help the pods set.,,No,,No
Yes,French Bean Dalmaziano dry,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7309%201.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7324.jpg","Annual, Vegetable",Yes,"Bean variety for dry beans, with 50-60 cm plants. The pods are straight, having a length of 12-14 cm. The seeds are of medium size, beige in color with stripes and spots purple in color. It is recommended for consumption as is
fresh or preserved.",Seed pack,"April, July, May",No,,Yes,,,,,,"July, June, October, September",,,,,,No,,No
Yes,French Bean Ecaterina,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7343.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7344.jpg",Vegetable,Yes,"The vegetation period is 62-65 days from emergence. The pod is wide slightly curved, yellow with a length of 18-
22 cm and the width of 2-2.5 cm.",Seed pack,"July, May",Yes,,Yes,,,,,,"August, July, September",,Full sun,,,,No,,No
No,French Bean Otila,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7295.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7296.jpg","Annual, Vegetable",Yes,"Phaseolus vulgaris L.
Climbing beans
The vegetation period is 62-65 days. The pod is wide,
sometimes very slightly curved, yellow, with a length of 18-22
cm and the width of 2-2.5 cm. climbing bean variety,
productive. Beige beans.",Seed pack,"April, July, May",No,,Yes,,,5cm,,,"August, July, September",,,,,,No,,No
Yes,Hyacinth Pink,Our%20garden%2093e00b18daa6406bb774d7fac429385d/33B9D0A7-F2DA-44D4-BDAF-0F144D85B858.jpeg,"Flowers, Perennial",No,,"Front - raised bed, Rear - raised bed",,No,,No,,,,,,,"April, March",,,,,No,,No
Yes,Hyacinth red,Our%20garden%2093e00b18daa6406bb774d7fac429385d/06035018-F0E4-40C7-97FC-A67980BADC36.jpeg,"Flowers, Perennial",No,,Rear - raised bed,,No,,No,,,,,,,"April, March",,,,,No,,No
Yes,Hyacinth yellow,Our%20garden%2093e00b18daa6406bb774d7fac429385d/0A04E8FF-7787-4934-ABE2-8C54CC2C88F0.jpeg,"Flowers, Perennial",No,,Rear - raised bed,,No,,No,,,,,,,"April, March",,,,,No,,No
Yes,Iris Harmony,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_1669.jpg,"Flowers, Perennial",No,"Eye catching royal-blue flowers with a bright yellow and white blotch, with sharpy pointed pale grey-green leaves.",Front - raised bed,,No,,No,,,Plant 15 cm apart. Either plant immediately in a hole twice the pots diameter or in a larger patio pot to flower. Allow fading flowers to die back naturally.,,,,"February, January, March","Full sun, Part shade",Well drained,,,No,,No
Yes,Lettuce Blonde de Paris,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9281.jpg,Vegetable,Yes,"Lactuca sativa
Can be grown in the smallest garden or patio pots.","Seed pack, Seed tray - indoors","April, July, June, March, May",No,"February 24, 2024",Yes,,,"Sow thinly outdoors, 1.5 cm deep, directly where they are to grow, in rows spaced 30 cm apart. Sow seeds every 2-3 weeks to extend your harvest period. Seedlings will usually appear after 7 - 14 days.",,,"August, July, June, September",,,,"Early sowings may benefit from cloche protection. Thin out to 25 cm apart.
Keep the soil moist and weed free. Apply a general purpose granular feed to the soil a week before sowing.",,No,,No
Yes,Lettuce Butterhead May king,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9268.jpg,Vegetable,Yes,Can be grown in the smallest garden or patio pots.,"Seed pack, Seed tray - indoors","April, July, June, March, May",No,"February 24, 2024",Yes,,,"Sow thinly outdoors, 1.5 cm deep, directly where they are to grow, in rows spaced 30 cm apart. Sow seeds every 2-3 weeks to extend your harvest period.
Seedling - Lettuce
Seedlings will usually appear after 7 - 14 days. Early sowings may benefit from cloche protection. Thin out to 25 cm apart.",,,"August, July, June, September",,Full sun,Wet,Keep the soil moist and weed free. Apply a general purpose granular feed to the soil a week before sowing.,,No,,No
Yes,Lettuce Loose Leaf,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9343.jpg,Vegetable,Yes,"Lactuca sativa
Can be grown in the smallest garden or patio pots.",Seed pack,"April, July, June, March, May",No,,Yes,,,"Sow thinly outdoors, 1.5 cm deep, directly where they are to grow, in rows spaced 30 cm apart. Sow seeds every 2-3 weeks to extend your harvest period.
Seedling - Lettuce
Seedlings will usually appear after 7 - 14 days.",,,"August, July, June, September",,,,"Early sowings may benefit from cloche protection. Thin out to 25 cm apart.
Keep the soil moist and weed free. Apply a general purpose granular feed to the soil a week before sowing.",,No,,No
Yes,Lettuce salad bowl,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9277.jpg,Vegetable,Yes,Can be grown in the smallest garden or patio pots.,Seed pack,"April, July, June, March, May",No,,Yes,,,"Sow thinly outdoors, 1.5 cm deep, directly where they are to grow, in rows spaced 30 cm apart. Sow seeds
Seedling - Lettuce
every 2-3 weeks to extend your harvest period.
Seedlings will usually appear after 7 - 14 days.
Early sowings may benefit from cloche protection.
Thin out to 25 cm apart.
Keep the soil moist and weed free. Apply a general purpose granular feed to the soil a week before sowing.",,,"August, July, June, September",,Full sun,Wet,Keep the soil moist and weed free. Apply a general purpose granular feed to the soil a week before sowing.,,No,,No
Yes,Lettuce winter density,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7471.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7472.jpg","Annual, Vegetable",Yes,"An extremely early Cos lettuce producing crisp, solid
hearts of excellent flavoured leaves. Slow to bolt and
quite hardy, it can be sown in the colder months.","Seed pack, Seed tray - indoors","April, August, February, January, March, November, October, September",No,"February 24, 2024",Yes,,,"August to April, with cloche or fleece
protection
In a prepared seed bed
Sow thinly in rows 30cm apart
Cover lightly with 1.5cm of fine soil
Firm gently and keep moist
Seedlings appear 7-14 days
When large enough thin to 15cm apart
Keep moist and weed free
Protect with fleece or cloches during cold
weather",,,"April, July, June, March, May",,"Full sun, Part shade",Well drained,"For maximum freshness cut lettuces in
the morning or evening
In severe winter weather sow indoors in an
unheated glasshouse and then transplant
4-6 weeks later under fleece or cloches
outside",,No,,No
Yes,Lily of the valley Pink,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9516_(1).jpg,"Flowers, Perennial",No,Convallaria majalis Rosea,Pot - outdoors,March,No,,No,,,,,,,,"Part shade, Wet",Well drained,"Likes rich humus, moist soil in partial shade. The bulbs are hardy and need no special attention. Should they become overcrowded, lift, divide and replant.",,Yes,,No
Yes,Lobelia Crystal Palace,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9308.jpg,"Annual, Flowers",No,"Lobelia erinus pendula
One of the most favourite Lobelia's with vivid deep blue flowers. Will enhance any garden. Half Hardy Annual.","Seed pack, Seed tray - indoors","February, January, March",Yes,"February 24, 2024",No,May,"Growing On:
When the seedlings are strong enough to handle they can be transplanted into bigger pots or trays. Do not overcrowd the plants and keep in a warm, light position. Once all chance of frost has passed the plants can be transplanted direct into your desired location in May. Harden off first.","Indoor Planting:
Sprinkle seeds onto the surface of the soil in trays of moist compost and cover lightly, be careful not to over-water. Store in a warm place at an approx. temperature of 15-20°c (60-68°f).",,,,"August, July, June, October, September",Full sun,,"Spacing 6"" / 15cm",,Yes,,No
Yes,Long Pepper Sweet Romano,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9349.jpg,Vegetable,Yes,"Capsicum annuum
Pepper (Sweet) Corno di toro rosso
A favourite sweet pepper variety with delicious flesh, thin skins and few seeds. Fruits can grow to 25cm long, perfect for salads as well as cooked dishes.
Winner of an RHS Award of Garden Merit for reliability and good performance. Part of the seed range produced by Mr Fothergill's Seeds in partnership with the RHS.","Seed pack, Seed tray - indoors","April, February, March",Yes,"January 7, 2024",No,May,"Remove cover when seedlings appear. When 5cm tall transplant into 10cm pots of compost with as little root disturbance as possible. Keep at approx. 15°C For greenhouse crops: Transplant to grow bags or large pots in the greenhouse
in May to June. For outdoor crops: Stand outside for a few days late May (avoid frosts). Choose a
warm, sunny sheltered spot outside.","For indoor sowing
In pots or trays of seed compost. Sow thinly, cover with a fine layer of compost. Firm gently and keep moist Cover with glass, polythene or propagator lid. Keep at approx. 15-20°C
Seedlings appear 7-21 days",,,"August, July, October, September",,"Full sun, Part shade",Wet,"Note, outdoor crops will be smaller and later
Tip
Apply a liquid feed every 2-3 weeks once flowers have formed",,No,,No
Yes,Long Pepper Sweet tasty mix f1,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7321.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7322%201.jpg","Annual, Vegetable",Yes,"A fabulous three colour blend
Produces a huge crop of long, pointed fruits on upright stems
Perfect for growing in the greenhouse.
Early fruit setting and produces abundantly throughout the summer if
grown in the greenhouse. Green fruits up to 25cm in length, turn
a glossy yellow, red or purple. Superb cut lengthwise for grilling, stuffed,
stir fried or sliced for salads.","Seed pack, Seed tray - indoors","April, March",Yes,"January 7, 2024",No,,"FOR OUTDOOR CROPS: Gradually acclimatise plants to outdoor conditions before planting out early summer 60cm apart in moist, well-drained soil in a sunny sheltered site. Grow on as above.
Mix contains varieties: Astor (yellow) 33%, Thor (red) 33% and
Black Knight (deepourple) 34%.","SOWING INSTRUCTIONS: Place seed on the surface of a good, free-draining, damp seed compost and cover with a fine sprinkling of compost or vermiculite. Place in a propagator or seal container inside a polythene bag at 20-25C until after germination which takes 10-14 days. Transplant seedlings when large enough to handle into 7.5cm pots.",,,"August, July, October, September",,Full sun,"Well drained, Wet",,,No,,No
No,Lupin Russell Assorted,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9333.jpg,Flowers,No,Lupinus polyphyllus,Seed pack,"April, June, March, May",No,,No,"August, July, June, May, September",Acclimatise to outdoor conditions and plant out 60 cm apart in well drained soil in a sunny spot.,"Sow indoors in seed trays 1.5 cm
deep using sowing compost. or in a greenhouse. Keep moist. Transfer seedlings to 7.5 cm pots.
Place on a windowsill
Seedlings will usually appear
after 21-28 days.",,,,"August, July, June",Full sun,Well drained,,,Yes,,No
Yes,Marigold (French) Bonita Mixed,Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_9285.jpg,"Annual, Flowers",No,"Vigorous and free flowering over a long season. The
wide range of vibrant colours makes it very popular
for bedding schemes and patio containers.``","Seed pack, Seed tray - indoors","April, May",No,"February 24, 2024",No,,,"For outdoor sowing
When
April to May
Where
In a prepared seed bed in flowering position
How
Sow thinly in rows 20cm apart
Cover lightly with fine soil. Keep moist",,,,"August, July, June, October, September",Full sun,Well drained,"Care
When large enough thin to 15cm apart
Keep moist and weed free 
Flowers June to October. Remove dead heads to
prolong flowering
Tip
Grow some plants in pots to fill gaps in the border",,No,,No
Yes,Marigold African spinning wheels,"Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7331.jpg, Our%20garden%2093e00b18daa6406bb774d7fac429385d/IMG_7332.jpg","Annual, Flowers",No,"A colour co-ordinated mixture of large and unusual African marigolds, guaranteed to bloom all summer
long, essential for containers and formal bedding.","Seed pack, Seed tray - indoors","April, February, March",Yes,"February 24, 2024",No,May,"Grow on at approx. 13-15C
When large enough transplant 5cm apart
in trays. Stand outside for a few days late
May (avoid frosts). Transplant 25cm apart
in flowering position
Keep moist and weed free","In trays of seed compost
Sow thinly, cover lightly with a fine layer of compost. Firm gently and keep moist
Keep at approx. 15-20C
Seedlings appear 14-21 days",,,,"August, July, June, October, September",Full sun,Well drained,"Remove dead heads to prolong flowering Will tolerate quite dry, sunny conditions
once established",,No,,No
